k1,k2,k3,k4,k5,k6,k7
-0.04402108932989735,-0.057100476037532086,-0.0797298795771629,-0.08283155891086391,0.03619879130710596,0.011988649724725244,-0.004221437640133373
-0.043890781685409094,-0.05807686504724632,-0.07941052434055128,-0.08441046974747526,0.036407253985729214,0.012961300498470434,-0.0047479955627093414
-0.038187967122412014,-0.05525982665711319,-0.07953221929877516,-0.0848785947610958,0.03726900637187265,0.012625948051272083,-0.005193468835706246
-0.033739341286569274,-0.05315192866105096,-0.0796439527860447,-0.08688819308630932,0.03854751675619699,0.013545186770323736,-0.004393943469383051
-0.030547506302089748,-0.05102966844263172,-0.07830169686491174,-0.08696253404271441,0.03946922283421622,0.01496844129683746,-0.004195268528926741
-0.031545122881100895,-0.052325087952112374,-0.07807160235227681,-0.08834460333774778,0.041306072100261555,0.014289467609118874,-0.006169524116508949
-0.031886336618228595,-0.051024085765205916,-0.07848784594352907,-0.08747047151586315,0.04265010735332747,0.016552906717774134,-0.005185230131609605
-0.024631129368279745,-0.04952059012281431,-0.0788207324357456,-0.090506327972079,0.04309061264805286,0.01597107463921824,-0.0057908748123181855
-0.021754618560972255,-0.04610906857980637,-0.07834850348156767,-0.0923010493798438,0.046056226199228154,0.017933990935073158,-0.006021117904529242
-0.022786110400974544,-0.045032673298650974,-0.07691587619244727,-0.0936909165103492,0.04777317052405741,0.018526758265462826,-0.008622519518616787
-0.01986300284499777,-0.04235945328468086,-0.07812648999246256,-0.09434979713042227,0.047995775026265494,0.020451893986407337,-0.009178620990754307
-0.015310619721559181,-0.04298232224629494,-0.07635916328350961,-0.09429960749464149,0.04850362181945236,0.020483847311048922,-0.008346985765554463
-0.009358319512204564,-0.03922477792585869,-0.07590272385927478,-0.0952685960916824,0.053859743615379596,0.02122378405505748,-0.010411780049439769
-0.010886437181033803,-0.03670092787816904,-0.07478689664370035,-0.09554351893666763,0.05402599918492957,0.02323144099128766,-0.010330679962712688
-0.005000158204026205,-0.03444320627723168,-0.07242460027898752,-0.09759097290344249,0.05707603792853867,0.024030018689533247,-0.010773504530961627
-0.0014442549526315091,-0.03197151320630744,-0.07336095742978854,-0.09966796896245111,0.059327908520741164,0.026235406421389842,-0.011666115022057085
0.0042405017006083255,-0.02944366719462061,-0.07135407101129822,-0.10137392441581707,0.06465284938363852,0.02786543652994568,-0.012309023366273923
0.00034780306841703407,-0.028748390183488445,-0.07078092098945903,-0.10282989090871958,0.06474905841136354,0.029992469638987336,-0.015856460159975463
0.006372506319285759,-0.02453233382348737,-0.07023653037856742,-0.1025825810181088,0.06861858536383023,0.0322224432178141,-0.014938611412758847
0.010687020680487769,-0.02140330413696566,-0.06849895951530792,-0.10438644667023095,0.07231521323254206,0.03637736950483281,-0.018920227914917428
0.010511584382451443,-0.019705709566418615,-0.06524776742994304,-0.10629156301247253,0.075550940654701,0.03798026725479159,-0.017243277461882367
0.015532068087209855,-0.015847572633365413,-0.06434356277001285,-0.10758969660292347,0.07906806696339977,0.040523039793936906,-0.021741833087660783
0.021745105719282492,-0.012434417923101081,-0.06419866120762555,-0.10885995170389538,0.08253109677868103,0.04138301093472602,-0.023373885341639377
0.025639871665415252,-0.011008870262270331,-0.062205001975881136,-0.10959958439785908,0.08711534199451172,0.04631366624022766,-0.02453048432909104
0.029441135151317657,-0.005194910366429159,-0.05931806781797664,-0.1106160106265202,0.09324779094028775,0.05319430190643252,-0.026545966593663636
0.032304183188445426,-0.0024208687410784023,-0.05514789632629251,-0.11222528591495735,0.09423879713195203,0.05584421901031136,-0.028644883830834817
0.03678917846524,0.002340896808991707,-0.05477541864677432,-0.11256234506233417,0.10002526820573714,0.058288010961955745,-0.03492168689446017
0.0395834984158028,0.006795513706640917,-0.05256499737022536,-0.11430215872109728,0.10328315612145181,0.06319066531553358,-0.03873648238150581
0.042831078506263214,0.010507254200092207,-0.04701976880854222,-0.11394108416838582,0.1111894413890798,0.06868665415673,-0.039065554636813056
0.051828250529018516,0.015391827448108861,-0.04574844860301587,-0.11794970512121525,0.11941719115351787,0.07716080506786992,-0.046179969012263046
0.05229081249739839,0.018704068385725418,-0.04205204011897526,-0.11691693449987624,0.1217109919568772,0.08059777877442786,-0.051004737689201884
